"transaction","status","__dt"
"66768","complete","2021-03-09 00:00:00.000"
"61355","complete","2021-02-23 00:00:00.000"
"48545","complete","2021-02-06 00:00:00.000"
"61278","complete","2021-02-23 00:00:00.000"
"61332","complete","2021-02-23 00:00:00.000"
"66667","complete","2021-03-09 00:00:00.000"
"56527","complete","2021-02-14 00:00:00.000"
"61227","complete","2021-02-23 00:00:00.000"
"56429","complete","2021-02-14 00:00:00.000"
"51802","complete","2021-02-09 00:00:00.000"
"59356","complete","2021-02-20 00:00:00.000"
"56685","complete","2021-02-14 00:00:00.000"
"61396","complete","2021-02-23 00:00:00.000"
"61232","complete","2021-02-23 00:00:00.000"
"48329","complete","2021-02-06 00:00:00.000"
"59138","complete","2021-02-20 00:00:00.000"
"66737","complete","2021-03-09 00:00:00.000"
"66674","complete","2021-03-09 00:00:00.000"
"49084","complete","2021-02-06 00:00:00.000"
"61446","complete","2021-02-23 00:00:00.000"
"61279","complete","2021-02-23 00:00:00.000"
"59186","complete","2021-02-20 00:00:00.000"
"66781","complete","2021-03-09 00:00:00.000"
"61354","complete","2021-02-23 00:00:00.000"
"49172","complete","2021-02-06 00:00:00.000"
"61497","complete","2021-02-23 00:00:00.000"
"48328","complete","2021-02-06 00:00:00.000"
"61404","complete","2021-02-23 00:00:00.000"
"56612","complete","2021-02-14 00:00:00.000"
"61223","complete","2021-02-23 00:00:00.000"
"66881","complete","2021-03-09 00:00:00.000"
