"id","terminal_id","tokens","cash","created_at","signature","__dt"
"59888","14","1.0","1.00","1613883982","50700d340339e11fd240bf3cb0f0704d77a0f23cb7d446933d0d112527233545","2021-02-21 00:00:00.000"
"59930","2","20.0","20.00","1613885432","89f77cb35811fdcfcdf9510cb2e5beb8edcf3ef6fd57c0a900dbd303ea71dc97","2021-02-21 00:00:00.000"
"49732","16","3.0","3.00","1612673243","d81954b62d79b3c0854f9a065d6452db8790082a20170c891a90261e00e971f5","2021-02-07 00:00:00.000"
"50095","13","8.0","8.00","1612685107","69ae224bf0b2300da187f836b2d69b01c0b66ff4d5b71ad4b8037f7d1baa737e","2021-02-07 00:00:00.000"
"49647","9","12.0","12.00","1612670241","0fd0f151b636b160f868811fb3295630a3907e3882290899f07521eb7cdcce87","2021-02-07 00:00:00.000"
"49746","11","20.0","20.00","1612673870","0d731de5c7a0797d45ea81960833b121a27e50ceb8a9da9aa1ac29beb860326a","2021-02-07 00:00:00.000"
"60383","4","20.0","20.00","1613903438","f74c09a1e719d3c194e99a05ca088da7ea3d758a1795b24f8983808305d1df42","2021-02-21 00:00:00.000"
"60639","6","14.0","14.00","1613913024","ce7c7c9a8d52ea892ac9a1af25acf0dd6af5bbacc84055af7a4d2721b65b50e4","2021-02-21 00:00:00.000"
"60495","7","5.0","5.00","1613907242","fe11526062bf4c0d126f887b1ba7421a8613571b454008a2c9f2ba03c834a418","2021-02-21 00:00:00.000"
"59892","2","20.0","20.00","1613884076","9adad87e1e13a0711d421bb286fd331c5c8aec4eb83ccab41362969cf31a8637","2021-02-21 00:00:00.000"
"60121","11","14.0","14.00","1613893309","81adbd1545cc5e37c9f05550f6d64e3de7228a8b8124c4ef6d94d433ab60e3a6","2021-02-21 00:00:00.000"
"60585","18","8.0","8.00","1613911109","55c13175e4fad3ebba9d65577ce7f7bd19431e07a08acd9128aea18c12fbe05a","2021-02-21 00:00:00.000"
"49887","13","20.0","20.00","1612679205","c01b018ed4c9523791204603015de2fcf06ab8085c31a0aba03ff3df45bb1a25","2021-02-07 00:00:00.000"
"50090","7","7.0","7.00","1612684905","ff8f869991ca6995c42bb4b747ec1fcaf6f5a2aacce957d0fb1051871da01368","2021-02-07 00:00:00.000"
"50091","15","20.0","20.00","1612684917","e90b908c15cd9dc6b5002ad3366d20b84f9fe5a6da0c5ff0966ee3253e83c0e1","2021-02-07 00:00:00.000"
"50061","17","30.0","30.00","1612683970","116c51e5b338fb476816e3a5baadc0e1d41300aae3fce1adf3dc4ee9759e9997","2021-02-07 00:00:00.000"
